Age group,Geography,15 years and over,15 to 24 years,25 years and over,25 to 44 years,45 to 64 years,45 years and over,25 to 54 years,55 years and over,15 to 64 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 years and over,65 to 69 years,70 years and over
1976,Canada,7.1,12.4,5.1,5.7,4.2,4.1,5.3,3.9,7.2,15.6,10.2,7.1,5.3,5,4.6,4.3,4.1,4,4.5,2.1,,
1977,Canada,8.1,13.8,5.8,6.4,5.1,5,6,4.8,8.1,17.1,11.6,7.8,6.1,5.7,5.2,5.2,4.9,4.8,5.8,2.2,,
1978,Canada,8.4,14.1,6.3,6.8,5.5,5.3,6.4,5.1,8.5,17.7,11.7,8.2,6.6,6.1,5.5,5.5,5.3,5.6,5.7,1.9,2.5,
1979,Canada,7.6,12.8,5.6,6.1,4.8,4.6,5.8,4.4,7.6,16.1,10.4,7.7,5.8,5.2,5.1,4.8,4.8,4.7,4.8,2,2.1,
1980,Canada,7.6,12.8,5.6,6,4.8,4.7,5.8,4.3,7.6,16.1,10.6,7.5,5.8,5.3,4.8,5,4.9,4.5,5,,,
1981,Canada,7.6,12.8,5.7,6.3,4.7,4.6,6,4.2,7.7,16.1,10.7,8,6,5.4,5.1,4.6,5,4.4,5,,,
1982,Canada,11,18.2,8.6,9.5,7.1,6.8,8.9,6.5,11.2,21.5,16.2,11.6,9.3,8.2,7.7,7.2,6.9,6.8,7.5,2.7,3.3,
1983,Canada,12,19.3,9.6,10.6,8,7.7,10,7.6,12.2,21.9,17.8,12.9,11,9,8.4,7.8,7.8,8.4,8.5,2.2,2.7,
1984,Canada,11.4,17.5,9.4,10.3,8,7.6,9.8,7.4,11.5,19.8,16.1,12.6,10.6,9,7.9,7.7,8.1,8,8.4,2.1,2.8,
1985,Canada,10.5,15.8,8.9,9.7,7.7,7.4,9.1,7.6,10.6,18.4,14.4,11.6,10.2,8.4,7.5,6.9,7.6,8.3,8.5,2,2.8,
1986,Canada,9.6,14.7,8.1,8.8,6.8,6.6,8.3,6.8,9.7,16.7,13.6,10.9,9,7.8,6.7,6.6,6.4,7.4,7.5,2.4,,
1987,Canada,8.8,13.3,7.6,8.1,6.7,6.5,7.8,6.5,8.9,14.9,12.3,9.6,8.3,7.4,6.5,6.5,6.5,6.9,7.5,2.7,3.2,
1988,Canada,7.8,11.5,6.8,7.3,6,5.8,6.9,5.8,7.8,12.9,10.7,8.7,7.3,6.6,5.9,6.1,5.4,6.2,6.6,2.2,3,
1989,Canada,7.6,11,6.7,7.2,5.7,5.5,6.8,5.7,7.6,12.8,9.8,8.6,7.6,6.5,5.9,5.3,5.4,6.1,6.7,1.9,2.5,
1990,Canada,8.2,12.4,7.1,7.7,6,5.8,7.3,5.5,8.2,14,11.3,9.3,8.1,7.1,6.2,5.6,6.5,6.2,6,1.6,,
1991,Canada,10.3,15.8,9.1,9.8,7.7,7.5,9.2,7.6,10.4,16.5,15.4,12.3,10,8.6,8,7.3,7.7,8.3,8.2,3.9,5.5,
1992,Canada,11.2,17.2,9.9,10.7,8.5,8.3,10,8.6,11.3,19.2,15.9,12.8,11.1,10.2,8.5,8.1,8,9.2,9.5,4.9,6.2,
1993,Canada,11.4,17.2,10.2,10.8,9,8.8,10.3,9.3,11.5,19.5,15.7,13,11.3,10.1,9,8.7,8.4,10.1,9.6,5.3,7.6,
1994,Canada,10.4,15.9,9.3,9.9,8.3,8.1,9.4,8.6,10.5,18.3,14.4,11.7,10.3,9.3,8.3,7.5,8.4,9.4,8.8,5,6.6,
1995,Canada,9.5,14.8,8.4,9,7.5,7.3,8.5,7.7,9.6,17.6,13,10.6,9.3,8.5,7.7,7.1,7.3,8.8,7.5,4.2,5.8,
1996,Canada,9.6,15.4,8.5,9.1,7.4,7.3,8.6,7.2,9.7,19.4,12.9,10.4,9.4,8.9,8,7.3,7.3,8,7.5,3.8,4.4,
1997,Canada,9.1,16.3,7.7,8.3,6.9,6.7,7.8,6.9,9.2,21.3,13.1,9.5,8.6,8.2,7.1,6.5,6.7,7.6,7.7,3.1,4.1,
1998,Canada,8.3,15.2,7,7.4,6.4,6.2,7.1,6.3,8.4,19.9,12.2,8.5,7.6,7.1,6.6,6,6.4,6.9,6.8,2.8,3.2,
1999,Canada,7.6,14,6.3,6.8,5.7,5.6,6.4,5.5,7.7,18.3,11.3,7.5,7,6.4,6.3,5.5,5.7,6.2,5.5,2.7,2.8,
2000,Canada,6.8,12.7,5.7,6,5.2,5.2,5.7,5.1,6.9,16.4,10.1,6.9,6,5.8,5.6,5.1,5.2,5.5,5.4,2.6,3.4,
2001,Canada,7.2,12.9,6.1,6.5,5.5,5.4,6.2,5.5,7.3,16.8,10.2,7.5,6.3,6.4,6.2,5.4,5.4,5.9,5.8,3.3,4.4,
2002,Canada,7.7,13.6,6.5,7,5.8,5.7,6.6,5.9,7.8,18,10.6,8,7.1,7,6.2,5.7,5.6,6.4,6.2,3.2,4.2,
2003,Canada,7.6,13.6,6.4,6.8,5.9,5.7,6.4,5.9,7.7,18,10.6,7.6,6.8,6.8,6.3,5.6,5.7,6.2,6.4,3.4,4.5,
2004,Canada,7.2,13.5,5.9,6.5,5.4,5.2,6,5.6,7.3,18.1,10.3,7.8,6,6.4,6,5.2,5,6,5.8,3.2,4.2,
2005,Canada,6.8,12.4,5.7,6,5.3,5.2,5.8,5.1,6.8,16.4,9.7,6.9,5.9,6,5.5,5.4,5.1,5.2,5.7,3.4,3.9,
2006,Canada,6.3,11.6,5.3,5.6,4.9,4.8,5.3,5.1,6.3,15.8,8.8,6.2,5.7,5.5,5.3,4.7,4.6,5.2,5.4,4.4,4.9,
2007,Canada,6,11.2,5,5.4,4.7,4.6,5.1,4.9,6.1,14.8,8.7,6.4,5,5.2,5,4.6,4.4,5.1,5.1,3.6,4,2.9
2008,Canada,6.1,11.6,5.1,5.3,4.9,4.8,5.1,5,6.2,15.4,8.9,5.9,5.2,5,5,4.7,4.7,5.2,5.7,2.8,3.4,
2009,Canada,8.4,15.3,7,7.5,6.7,6.5,7.1,6.6,8.4,20,12.2,8.3,7.7,7.1,6.9,6.5,6.5,6.8,7.2,4.4,5.3,2.7
2010,Canada,8.1,14.9,6.8,7.3,6.4,6.3,6.9,6.3,8.2,20,11.6,8.3,7.3,6.7,6.9,6.4,6,6.3,7.1,4.8,6,2.4
2011,Canada,7.5,14.3,6.3,6.5,6.1,6,6.3,6.3,7.6,19.4,11,8,6.1,6.1,6,5.8,5.8,6.3,7.2,4.8,5.6,3.2
2012,Canada,7.3,14.4,6,6.3,5.8,5.7,6,5.9,7.4,20,11,7.5,6.4,5.6,5.6,5.6,5.6,6,6.5,4.6,5.4,3.2
2013,Canada,7.1,13.7,5.9,6,5.9,5.8,5.9,6,7.2,19.4,10.4,7.5,6.1,5.2,5.2,5.5,5.6,6.1,6.8,4.4,4.7,3.7
2014,Canada,6.9,13.4,5.8,6,5.6,5.5,5.7,5.8,7,18.4,10.7,7.6,5.9,5.3,5.3,5.1,5.4,6,6.4,4.1,5,2.4
2015,Canada,6.9,13.2,5.8,6.1,5.7,5.6,5.8,5.8,7,18.1,10.4,7.4,5.7,5.7,5.4,5.1,5.6,5.9,6.4,4.6,5.2,3.4
2016,Canada,7,13.1,6,6.2,5.9,5.8,6,6,7.1,17.7,10.6,7.5,6.2,5.4,5.6,5.4,5.6,5.9,7,4.6,5.1,3.7
